experiment,epoch,train_loss,val_loss,best_val_loss,lr,epoch_time_s
a2_focal,1,5.5423,5.3368,5.3368,0.0003,864.4
a2_focal,2,4.9387,5.0151,5.0151,0.0003,861.0
a2_focal,3,4.6946,4.8392,4.8392,0.0003,855.8
a2_focal,4,4.5185,4.7029,4.7029,0.0003,869.6
a2_focal,5,4.3728,4.6037,4.6037,0.0003,866.1
a2_focal,6,4.2535,4.5182,4.5182,0.0003,884.0
a2_focal,7,4.1547,4.467,4.467,0.0003,875.1
a2_focal,8,4.0689,4.4102,4.4102,0.0003,889.7
a2_focal,9,3.9968,4.3739,4.3739,0.0003,891.8
a2_focal,10,3.931,4.3361,4.3361,0.0003,893.1
a2_focal,11,3.8726,4.3061,4.3061,0.0003,888.4
a2_focal,12,3.8209,4.2835,4.2835,0.0003,895.1
a2_focal,13,3.773,4.2517,4.2517,0.0003,889.9
a2_focal,14,3.7278,4.2291,4.2291,0.0003,892.2
a2_focal,15,3.6891,4.2135,4.2135,0.0003,888.5
a2_focal,16,3.651,4.1946,4.1946,0.0003,890.1
a2_focal,17,3.6161,4.1829,4.1829,0.0003,889.8
a2_focal,18,3.5831,4.1745,4.1745,0.0003,888.3
a2_focal,19,3.5523,4.1543,4.1543,0.0003,881.4
a2_focal,20,3.5231,4.1461,4.1461,0.0003,883.1
a2_focal,21,3.4952,4.1382,4.1382,0.0003,881.4
a2_focal,22,3.4706,4.1335,4.1335,0.0003,876.1
a2_focal,23,3.4456,4.1202,4.1202,0.0003,868.8
a2_focal,24,3.4218,4.1037,4.1037,0.0003,864.7
a2_focal,25,3.3984,4.0986,4.0986,0.0003,860.4
a2_focal,26,3.3793,4.0918,4.0918,0.0003,859.4
a2_focal,27,3.3569,4.0873,4.0873,0.0003,843.3
a2_focal,28,3.3382,4.0695,4.0695,0.0003,849.5
a2_focal,29,3.3179,4.0725,4.0695,0.0003,842.9
a2_focal,30,3.2999,4.0664,4.0664,0.0003,851.4
a2_focal,31,3.2828,4.0579,4.0579,0.0003,841.4
a2_focal,32,3.2663,4.0506,4.0506,0.0003,846.6
a2_focal,33,3.2503,4.0471,4.0471,0.0003,836.3
a2_focal,34,3.2342,4.0409,4.0409,0.0003,840.8
a2_focal,35,3.2203,4.044,4.0409,0.0003,840.9
a2_focal,36,3.2056,4.0434,4.0409,0.0003,839.0
a2_focal,37,3.192,4.0323,4.0323,0.0003,832.4
a2_focal,38,3.1782,4.0251,4.0251,0.0003,835.7
a2_focal,39,3.1649,4.026,4.0251,0.0003,830.4
a2_focal,40,3.1505,4.0291,4.0251,0.0003,833.0
a2_focal,41,3.1412,4.0234,4.0234,0.0003,835.5
a2_focal,42,3.128,4.0223,4.0223,0.0003,823.8
a2_focal,43,3.1153,4.0165,4.0165,0.0003,835.1
a2_focal,44,3.104,4.0158,4.0158,0.0003,757.5
a2_focal,45,3.0921,4.0087,4.0087,0.0003,687.5
a2_focal,46,3.0833,4.0045,4.0045,0.0003,688.1
a2_focal,47,3.0723,4.0057,4.0045,0.0003,693.8
a2_focal,48,3.0618,3.9983,3.9983,0.0003,692.2
a2_focal,49,3.0531,3.9994,3.9983,0.0003,690.3
a2_focal,50,3.043,4.0,3.9983,0.0003,692.4
a2_focal,51,3.033,3.9938,3.9938,0.0003,687.8
a2_focal,52,3.023,3.9877,3.9877,0.0003,692.2
a2_focal,53,3.0146,3.9899,3.9877,0.0003,686.7
a2_focal,54,3.004,3.9937,3.9877,0.0003,687.0
a2_focal,55,2.9952,3.989,3.9877,0.0003,707.9
a2_focal,56,2.9862,3.9786,3.9786,0.0003,702.8
a2_focal,57,2.9754,3.9842,3.9786,0.0003,576.5
a2_focal,58,2.9686,3.9793,3.9786,0.0003,585.2
a2_focal,59,2.9608,3.9772,3.9772,0.0003,594.1
a2_focal,60,2.952,3.9812,3.9772,0.0003,548.4
