epoch,train_loss,val_loss,best_val_loss,device
1,4.8791,5.8877,5.8877,cuda (RTX 5000)
2,4.2715,5.7271,5.7271,cuda (RTX 5000)
3,4.0314,5.5754,5.5754,cuda (RTX 5000)
4,3.8594,5.5082,5.5082,cuda (RTX 5000)
5,3.7274,5.485,5.485,cuda (RTX 5000)
6,3.6203,5.3733,5.3733,cuda (RTX 5000)
7,3.5329,5.3689,5.3689,cuda (RTX 5000)
8,3.4565,5.36,5.36,cuda (RTX 5000)
9,3.3889,5.3935,5.36,cuda (RTX 5000)
10,3.3318,5.3591,5.3591,cuda (RTX 5000)
11,3.2772,5.347,5.347,cuda (RTX 5000)
12,3.2282,5.326,5.326,cuda (RTX 5000)
13,3.184,5.3195,5.3195,cuda (RTX 5000)
14,3.1431,5.3303,5.3195,cuda (RTX 5000)
15,3.1048,5.3089,5.3089,cuda (RTX 5000)
16,3.0697,5.3153,5.3089,cuda (RTX 5000)
17,3.0368,5.3176,5.3089,cuda (RTX 5000)
18,3.0057,5.2922,5.2922,cuda (RTX 5000)
19,2.9755,5.2791,5.2791,cuda (RTX 5000)
20,2.9489,5.2805,5.2791,cuda (RTX 5000)
21,2.9229,5.2973,5.2791,cuda (RTX 5000)
22,2.8973,5.293,5.2791,cuda (RTX 5000)
23,2.8742,5.3226,5.2791,cuda (RTX 5000)
24,2.8526,5.2927,5.2791,cuda (RTX 5000)
25,2.8308,5.2893,5.2791,cuda (RTX 5000)
26,2.8101,5.2882,5.2791,cuda (RTX 5000)
27,2.7914,5.3339,5.2791,cuda (RTX 5000)
28,2.7731,5.3088,5.2791,cuda (RTX 5000)
29,2.7543,5.3115,5.2791,cuda (RTX 5000)
30,2.7369,5.3003,5.2791,cuda (RTX 5000)
31,2.7201,5.3173,5.2791,cuda (RTX 5000)
32,2.7032,5.3022,5.2791,cuda (RTX 5000)
33,2.6882,5.3056,5.2791,cuda (RTX 5000)
34,2.6728,5.3438,5.2791,cuda (RTX 5000)
35,2.6575,5.286,5.2791,cuda (RTX 5000)
36,2.6443,5.2946,5.2791,cuda (RTX 5000)
37,2.6314,5.3024,5.2791,cuda (RTX 5000)
38,2.6183,5.3047,5.2791,cuda (RTX 5000)
39,2.6066,5.299,5.2791,cuda (RTX 5000)
40,2.5933,5.3306,5.2791,cuda (RTX 5000)
41,2.5825,5.3166,5.2791,cuda (RTX 5000)
42,2.571,5.3493,5.2791,cuda (RTX 5000)
43,2.56,5.3589,5.2791,cuda (RTX 5000)
44,2.5483,5.3405,5.2791,cuda (RTX 5000)
45,2.5392,5.3409,5.2791,cuda (RTX 5000)
46,2.5272,5.3344,5.2791,cuda (RTX 5000)
47,2.5173,5.3597,5.2791,cuda (RTX 5000)
48,2.5068,5.3252,5.2791,cuda (RTX 5000)
49,2.498,5.3526,5.2791,cuda (RTX 5000)
50,2.489,5.3642,5.2791,cuda (RTX 5000)
51,2.4797,5.3342,5.2791,cuda (RTX 5000)
52,2.4703,5.3498,5.2791,cuda (RTX 5000)
53,2.4601,5.3102,5.2791,cuda (RTX 5000)
54,2.452,5.3655,5.2791,cuda (RTX 5000)
55,2.4426,5.3377,5.2791,cuda (RTX 5000)
56,2.436,5.3768,5.2791,cuda (RTX 5000)
57,2.4264,5.3739,5.2791,cuda (RTX 5000)
58,2.4194,5.3584,5.2791,cuda (RTX 5000)
59,2.4128,5.3614,5.2791,cuda (RTX 5000)
60,2.4036,5.3885,5.2791,cuda (RTX 5000)
