epoch,train_loss,val_loss,best_val_loss,device
1,5.6641,5.2945,5.2945,cuda (RTX 5000)
2,5.0747,4.968,4.968,cuda (RTX 5000)
3,4.8333,4.7581,4.7581,cuda (RTX 5000)
4,4.6459,4.5973,4.5973,cuda (RTX 5000)
5,4.4676,4.4057,4.4057,cuda (RTX 5000)
6,4.2757,4.2262,4.2262,cuda (RTX 5000)
7,4.0665,4.0292,4.0292,cuda (RTX 5000)
8,3.8695,3.8748,3.8748,cuda (RTX 5000)
9,3.6967,3.7444,3.7444,cuda (RTX 5000)
10,3.5501,3.6397,3.6397,cuda (RTX 5000)
11,3.4288,3.558,3.558,cuda (RTX 5000)
12,3.3275,3.4893,3.4893,cuda (RTX 5000)
13,3.2396,3.4488,3.4488,cuda (RTX 5000)
14,3.1661,3.3937,3.3937,cuda (RTX 5000)
15,3.103,3.3482,3.3482,cuda (RTX 5000)
16,3.0485,3.3308,3.3308,cuda (RTX 5000)
17,3.0012,3.2995,3.2995,cuda (RTX 5000)
18,2.9581,3.2834,3.2834,cuda (RTX 5000)
19,2.9202,3.2391,3.2391,cuda (RTX 5000)
20,2.8876,3.2224,3.2224,cuda (RTX 5000)
21,2.8557,3.2224,3.2224,cuda (RTX 5000)
22,2.8297,3.1868,3.1868,cuda (RTX 5000)
23,2.7996,3.164,3.164,cuda (RTX 5000)
24,2.7767,3.1384,3.1384,cuda (RTX 5000)
25,2.755,3.1422,3.1384,cuda (RTX 5000)
26,2.7302,3.0954,3.0954,cuda (RTX 5000)
27,2.7108,3.1043,3.0954,cuda (RTX 5000)
28,2.6926,3.0556,3.0556,cuda (RTX 5000)
29,2.6729,3.0336,3.0336,cuda (RTX 5000)
30,2.6585,3.0337,3.0336,cuda (RTX 5000)
31,2.6399,2.9991,2.9991,cuda (RTX 5000)
32,2.6268,2.9789,2.9789,cuda (RTX 5000)
33,2.6097,2.9764,2.9764,cuda (RTX 5000)
34,2.5983,2.9588,2.9588,cuda (RTX 5000)
35,2.586,2.9297,2.9297,cuda (RTX 5000)
36,2.5761,2.9316,2.9297,cuda (RTX 5000)
37,2.5644,2.9146,2.9146,cuda (RTX 5000)
38,2.5558,2.9085,2.9085,cuda (RTX 5000)
39,2.5473,2.8975,2.8975,cuda (RTX 5000)
40,2.5393,2.889,2.889,cuda (RTX 5000)
41,2.5307,2.876,2.876,cuda (RTX 5000)
42,2.5252,2.8665,2.8665,cuda (RTX 5000)
43,2.5201,2.8591,2.8591,cuda (RTX 5000)
44,2.5123,2.8509,2.8509,cuda (RTX 5000)
45,2.5067,2.8407,2.8407,cuda (RTX 5000)
46,2.501,2.8656,2.8407,cuda (RTX 5000)
47,2.4982,2.8426,2.8407,cuda (RTX 5000)
48,2.4922,2.8429,2.8407,cuda (RTX 5000)
49,2.4889,2.8324,2.8324,cuda (RTX 5000)
50,2.4841,2.815,2.815,cuda (RTX 5000)
51,2.4807,2.816,2.815,cuda (RTX 5000)
52,2.4773,2.8139,2.8139,cuda (RTX 5000)
53,2.4741,2.8098,2.8098,cuda (RTX 5000)
54,2.4705,2.8047,2.8047,cuda (RTX 5000)
55,2.4675,2.798,2.798,cuda (RTX 5000)
56,2.4654,2.7871,2.7871,cuda (RTX 5000)
57,2.4631,2.7842,2.7842,cuda (RTX 5000)
58,2.4594,2.7883,2.7842,cuda (RTX 5000)
59,2.4592,2.7938,2.7842,cuda (RTX 5000)
60,2.4563,2.7879,2.7842,cuda (RTX 5000)
