epoch,train_loss,val_loss,best_val_loss,device
1,5.693,5.2491,5.2491,cuda (RTX 5000)
2,5.1129,4.9577,4.9577,cuda (RTX 5000)
3,4.8896,4.7864,4.7864,cuda (RTX 5000)
4,4.7278,4.6405,4.6405,cuda (RTX 5000)
5,4.5973,4.5382,4.5382,cuda (RTX 5000)
6,4.4898,4.4595,4.4595,cuda (RTX 5000)
7,4.4033,4.4009,4.4009,cuda (RTX 5000)
8,4.3309,4.3518,4.3518,cuda (RTX 5000)
9,4.2684,4.3118,4.3118,cuda (RTX 5000)
10,4.2129,4.2753,4.2753,cuda (RTX 5000)
11,4.1657,4.2472,4.2472,cuda (RTX 5000)
12,4.1213,4.221,4.221,cuda (RTX 5000)
13,4.0816,4.1987,4.1987,cuda (RTX 5000)
14,4.0444,4.1797,4.1797,cuda (RTX 5000)
15,4.0108,4.1528,4.1528,cuda (RTX 5000)
16,3.9789,4.1409,4.1409,cuda (RTX 5000)
17,3.9486,4.12,4.12,cuda (RTX 5000)
18,3.9214,4.1101,4.1101,cuda (RTX 5000)
19,3.8943,4.1001,4.1001,cuda (RTX 5000)
20,3.8701,4.0806,4.0806,cuda (RTX 5000)
21,3.8469,4.0713,4.0713,cuda (RTX 5000)
22,3.8241,4.0572,4.0572,cuda (RTX 5000)
23,3.8028,4.0521,4.0521,cuda (RTX 5000)
24,3.7825,4.0412,4.0412,cuda (RTX 5000)
25,3.7632,4.0311,4.0311,cuda (RTX 5000)
26,3.7443,4.0212,4.0212,cuda (RTX 5000)
27,3.7267,4.013,4.013,cuda (RTX 5000)
28,3.7097,4.0063,4.0063,cuda (RTX 5000)
29,3.6941,3.9983,3.9983,cuda (RTX 5000)
30,3.6787,3.9861,3.9861,cuda (RTX 5000)
31,3.6639,3.979,3.979,cuda (RTX 5000)
32,3.6484,3.9694,3.9694,cuda (RTX 5000)
33,3.6356,3.9721,3.9694,cuda (RTX 5000)
34,3.6214,3.9632,3.9632,cuda (RTX 5000)
35,3.6081,3.961,3.961,cuda (RTX 5000)
36,3.5956,3.9516,3.9516,cuda (RTX 5000)
37,3.5829,3.9464,3.9464,cuda (RTX 5000)
38,3.5703,3.9484,3.9464,cuda (RTX 5000)
39,3.5603,3.9338,3.9338,cuda (RTX 5000)
40,3.5476,3.9313,3.9313,cuda (RTX 5000)
41,3.537,3.926,3.926,cuda (RTX 5000)
42,3.5268,3.924,3.924,cuda (RTX 5000)
43,3.5163,3.9217,3.9217,cuda (RTX 5000)
44,3.5051,3.9167,3.9167,cuda (RTX 5000)
45,3.4953,3.9116,3.9116,cuda (RTX 5000)
46,3.4855,3.9116,3.9116,cuda (RTX 5000)
47,3.4761,3.9044,3.9044,cuda (RTX 5000)
48,3.4671,3.8996,3.8996,cuda (RTX 5000)
49,3.4575,3.9013,3.8996,cuda (RTX 5000)
50,3.4491,3.8933,3.8933,cuda (RTX 5000)
51,3.4399,3.8904,3.8904,cuda (RTX 5000)
52,3.4311,3.8892,3.8892,cuda (RTX 5000)
53,3.4231,3.8885,3.8885,cuda (RTX 5000)
54,3.4143,3.8885,3.8885,cuda (RTX 5000)
55,3.4062,3.8761,3.8761,cuda (RTX 5000)
56,3.3985,3.8783,3.8761,cuda (RTX 5000)
57,3.3917,3.8745,3.8745,cuda (RTX 5000)
58,3.3837,3.8721,3.8721,cuda (RTX 5000)
59,3.3749,3.871,3.871,cuda (RTX 5000)
60,3.3676,3.8649,3.8649,cuda (RTX 5000)
