epoch,train_loss,val_loss,best_val_loss,device
1,5.7225,5.5567,5.5567,cuda (RTX 5000)
2,5.1482,5.3134,5.3134,cuda (RTX 5000)
3,4.9602,5.162,5.162,cuda (RTX 5000)
4,4.836,5.0518,5.0518,cuda (RTX 5000)
5,4.7466,4.9677,4.9677,cuda (RTX 5000)
6,4.6778,4.8948,4.8948,cuda (RTX 5000)
7,4.6167,4.8319,4.8319,cuda (RTX 5000)
8,4.5671,4.7829,4.7829,cuda (RTX 5000)
9,4.5239,4.7419,4.7419,cuda (RTX 5000)
10,4.4833,4.6991,4.6991,cuda (RTX 5000)
11,4.4495,4.662,4.662,cuda (RTX 5000)
12,4.4219,4.6386,4.6386,cuda (RTX 5000)
13,4.3912,4.6094,4.6094,cuda (RTX 5000)
14,4.3678,4.5949,4.5949,cuda (RTX 5000)
15,4.3441,4.5514,4.5514,cuda (RTX 5000)
16,4.3237,4.5376,4.5376,cuda (RTX 5000)
17,4.3023,4.5198,4.5198,cuda (RTX 5000)
18,4.2851,4.4948,4.4948,cuda (RTX 5000)
19,4.2663,4.4843,4.4843,cuda (RTX 5000)
20,4.2462,4.4681,4.4681,cuda (RTX 5000)
21,4.2324,4.4462,4.4462,cuda (RTX 5000)
22,4.2175,4.4283,4.4283,cuda (RTX 5000)
23,4.1992,4.4186,4.4186,cuda (RTX 5000)
24,4.1906,4.404,4.404,cuda (RTX 5000)
25,4.1736,4.3763,4.3763,cuda (RTX 5000)
26,4.1612,4.3788,4.3763,cuda (RTX 5000)
27,4.1525,4.3688,4.3688,cuda (RTX 5000)
28,4.141,4.3573,4.3573,cuda (RTX 5000)
29,4.1293,4.3438,4.3438,cuda (RTX 5000)
30,4.1163,4.3352,4.3352,cuda (RTX 5000)
31,4.1051,4.3242,4.3242,cuda (RTX 5000)
32,4.0987,4.3152,4.3152,cuda (RTX 5000)
33,4.0852,4.2997,4.2997,cuda (RTX 5000)
34,4.0741,4.29,4.29,cuda (RTX 5000)
35,4.0673,4.2903,4.29,cuda (RTX 5000)
36,4.0564,4.2704,4.2704,cuda (RTX 5000)
37,4.0499,4.2754,4.2704,cuda (RTX 5000)
38,4.0422,4.2665,4.2665,cuda (RTX 5000)
39,4.0354,4.2618,4.2618,cuda (RTX 5000)
40,4.0249,4.2493,4.2493,cuda (RTX 5000)
41,4.015,4.2333,4.2333,cuda (RTX 5000)
42,4.0102,4.2284,4.2284,cuda (RTX 5000)
43,4.0013,4.2173,4.2173,cuda (RTX 5000)
44,3.9958,4.2175,4.2173,cuda (RTX 5000)
45,3.9909,4.212,4.212,cuda (RTX 5000)
46,3.9802,4.2003,4.2003,cuda (RTX 5000)
47,3.9756,4.1934,4.1934,cuda (RTX 5000)
48,3.9693,4.1934,4.1934,cuda (RTX 5000)
49,3.9611,4.1893,4.1893,cuda (RTX 5000)
50,3.9575,4.1868,4.1868,cuda (RTX 5000)
51,3.9495,4.1758,4.1758,cuda (RTX 5000)
52,3.9429,4.1711,4.1711,cuda (RTX 5000)
53,3.9388,4.1769,4.1711,cuda (RTX 5000)
54,3.9345,4.1553,4.1553,cuda (RTX 5000)
55,3.9276,4.1555,4.1553,cuda (RTX 5000)
56,3.9227,4.1553,4.1553,cuda (RTX 5000)
57,3.9174,4.1422,4.1422,cuda (RTX 5000)
58,3.9132,4.1403,4.1403,cuda (RTX 5000)
59,3.9074,4.1451,4.1403,cuda (RTX 5000)
60,3.9027,4.1417,4.1403,cuda (RTX 5000)
