experiment,epoch,train_loss,val_loss,best_val_loss,lr,epoch_time_s
c3_cosine,1,5.6833,5.3191,5.3191,0.0002997944302131856,866.6
c3_cosine,2,5.1109,5.0036,5.0036,0.0002991782843052394,858.2
c3_cosine,3,4.8772,4.8238,4.8238,0.0002981532510892689,866.0
c3_cosine,4,4.7102,4.6944,4.6944,0.0002967221401100687,869.3
c3_cosine,5,4.5737,4.5959,4.5959,0.00029488887394335723,877.5
c3_cosine,6,4.4609,4.5137,4.5137,0.0002926584774442707,876.7
c3_cosine,7,4.3676,4.4587,4.4587,0.00029003706397457665,889.2
c3_cosine,8,4.2883,4.408,4.408,0.00028703181864638683,886.0
c3_cosine,9,4.2208,4.3751,4.3751,0.00028365097862825117,886.2
c3_cosine,10,4.1592,4.3329,4.3329,0.00027990381056766336,889.5
c3_cosine,11,4.1038,4.3065,4.3065,0.00027580058519181014,884.8
c3_cosine,12,4.0554,4.279,4.279,0.0002713525491562375,890.9
c3_cosine,13,4.0111,4.2525,4.2525,0.000266571894218541,881.7
c3_cosine,14,3.9702,4.2332,4.2332,0.00026147172382160383,886.5
c3_cosine,15,3.9323,4.2143,4.2143,0.0002560660171779786,892.5
c3_cosine,16,3.8973,4.2001,4.2001,0.0002503695909538262,883.6
c3_cosine,17,3.8654,4.1839,4.1839,0.00024439805865747243,892.8
c3_cosine,18,3.8338,4.1762,4.1762,0.00023816778784386733,879.5
c3_cosine,19,3.806,4.163,4.163,0.0002316958552522505,881.9
c3_cosine,20,3.7786,4.1493,4.1493,0.00022499999999999628,881.1
c3_cosine,21,3.7536,4.1478,4.1478,0.00021809857496092843,874.0
c3_cosine,22,3.7298,4.135,4.135,0.00021101049646136643,872.0
c3_cosine,23,3.7069,4.1224,4.1224,0.00020375519243179187,880.4
c3_cosine,24,3.6861,4.1129,4.1129,0.00019635254915623885,871.3
c3_cosine,25,3.6646,4.1045,4.1045,0.00018882285676537526,862.1
c3_cosine,26,3.6472,4.1043,4.1043,0.00018118675362266146,859.2
c3_cosine,27,3.6279,4.0974,4.0974,0.00017346516975603243,855.7
c3_cosine,28,3.6111,4.0927,4.0927,0.00016567926949014617,846.5
c3_cosine,29,3.5947,4.0868,4.0868,0.0001578503934364401,849.0
c3_cosine,30,3.5796,4.0809,4.0809,0.00014999999999999866,853.3
c3_cosine,31,3.5644,4.078,4.078,0.00014214960656355662,851.5
c3_cosine,32,3.5512,4.073,4.073,0.0001343207305098507,846.7
c3_cosine,33,3.5379,4.0652,4.0652,0.0001265348302439638,840.5
c3_cosine,34,3.5241,4.0612,4.0612,0.00011881324637733425,840.4
c3_cosine,35,3.5136,4.0639,4.0612,0.00011117714323461987,850.7
c3_cosine,36,3.5019,4.0586,4.0586,0.00010364745084375604,839.9
c3_cosine,37,3.4908,4.0573,4.0573,9.624480756820333e-05,839.8
c3_cosine,38,3.4819,4.054,4.054,8.898950353862827e-05,841.9
c3_cosine,39,3.4706,4.0472,4.0472,8.190142503906627e-05,838.3
c3_cosine,40,3.4631,4.0511,4.0472,7.499999999999834e-05,842.8
c3_cosine,41,3.4552,4.0502,4.0472,6.830414474774455e-05,839.5
c3_cosine,42,3.4464,4.0487,4.0472,6.183221215612748e-05,837.7
c3_cosine,43,3.4376,4.047,4.047,5.5601941342523074e-05,842.1
c3_cosine,44,3.432,4.0462,4.0462,4.963040904617004e-05,754.6
c3_cosine,45,3.426,4.0422,4.0422,4.3933982822016704e-05,708.8
c3_cosine,46,3.42,4.0414,4.0414,3.8528276178389844e-05,706.3
c3_cosine,47,3.4162,4.0384,4.0384,3.3428105781453474e-05,705.1
c3_cosine,48,3.4097,4.0392,4.0384,2.864745084375715e-05,700.5
c3_cosine,49,3.4062,4.038,4.038,2.419941480818579e-05,699.2
c3_cosine,50,3.4042,4.0381,4.038,2.0096189432333642e-05,706.6
c3_cosine,51,3.3979,4.0364,4.0364,1.6349021371744315e-05,699.6
c3_cosine,52,3.3958,4.0375,4.0364,1.2968181353609457e-05,703.4
c3_cosine,53,3.3932,4.0368,4.0364,9.962936025419414e-06,700.9
c3_cosine,54,3.3905,4.0369,4.0364,7.34152255572672e-06,712.1
c3_cosine,55,3.3889,4.036,4.036,5.111126056639582e-06,716.0
c3_cosine,56,3.3863,4.036,4.036,3.2778598899290106e-06,729.8
c3_cosine,57,3.3826,4.0357,4.0357,1.846748910729276e-06,588.8
c3_cosine,58,3.3826,4.0359,4.0357,8.21715694758975e-07,599.4
c3_cosine,59,3.3811,4.0359,4.0357,2.0556978681391705e-07,607.6
c3_cosine,60,3.3801,4.0359,4.0357,0.0,536.8
