epoch,train_loss,val_loss,best_val_loss,device
1,5.5924,6.261,6.261,cuda (RTX 5000)
2,4.8507,5.9152,5.9152,cuda (RTX 5000)
3,4.6706,5.7046,5.7046,cuda (RTX 5000)
4,4.5382,5.5027,5.5027,cuda (RTX 5000)
5,4.449,5.3594,5.3594,cuda (RTX 5000)
6,4.3693,5.2871,5.2871,cuda (RTX 5000)
7,4.3056,5.167,5.167,cuda (RTX 5000)
8,4.2428,5.0827,5.0827,cuda (RTX 5000)
9,4.1866,5.0077,5.0077,cuda (RTX 5000)
10,4.1338,4.9369,4.9369,cuda (RTX 5000)
11,4.0845,4.8649,4.8649,cuda (RTX 5000)
12,4.0391,4.8064,4.8064,cuda (RTX 5000)
13,3.9996,4.7541,4.7541,cuda (RTX 5000)
14,3.9634,4.7043,4.7043,cuda (RTX 5000)
15,3.9324,4.6534,4.6534,cuda (RTX 5000)
16,3.9073,4.6152,4.6152,cuda (RTX 5000)
17,3.8835,4.5861,4.5861,cuda (RTX 5000)
18,3.864,4.5332,4.5332,cuda (RTX 5000)
19,3.8488,4.4975,4.4975,cuda (RTX 5000)
20,3.8345,4.473,4.473,cuda (RTX 5000)
21,3.8208,4.4319,4.4319,cuda (RTX 5000)
22,3.8141,4.4023,4.4023,cuda (RTX 5000)
23,3.8056,4.377,4.377,cuda (RTX 5000)
24,3.8019,4.3468,4.3468,cuda (RTX 5000)
25,3.8004,4.3122,4.3122,cuda (RTX 5000)
26,3.7982,4.2819,4.2819,cuda (RTX 5000)
27,3.8005,4.2538,4.2538,cuda (RTX 5000)
28,3.8052,4.2248,4.2248,cuda (RTX 5000)
29,3.8174,4.1954,4.1954,cuda (RTX 5000)
30,3.8375,4.1756,4.1756,cuda (RTX 5000)
31,3.8,4.1535,4.1535,cuda (RTX 5000)
32,3.7645,4.1345,4.1345,cuda (RTX 5000)
33,3.7345,4.1124,4.1124,cuda (RTX 5000)
34,3.7053,4.1106,4.1106,cuda (RTX 5000)
35,3.6799,4.0956,4.0956,cuda (RTX 5000)
36,3.6552,4.0981,4.0956,cuda (RTX 5000)
37,3.6332,4.0766,4.0766,cuda (RTX 5000)
38,3.6103,4.0731,4.0731,cuda (RTX 5000)
39,3.5894,4.057,4.057,cuda (RTX 5000)
40,3.5684,4.0641,4.057,cuda (RTX 5000)
41,3.5522,4.0535,4.0535,cuda (RTX 5000)
42,3.535,4.0457,4.0457,cuda (RTX 5000)
43,3.5161,4.0469,4.0457,cuda (RTX 5000)
44,3.4997,4.041,4.041,cuda (RTX 5000)
45,3.4843,4.0353,4.0353,cuda (RTX 5000)
46,3.4695,4.0378,4.0353,cuda (RTX 5000)
47,3.4544,4.0254,4.0254,cuda (RTX 5000)
48,3.4416,4.0257,4.0254,cuda (RTX 5000)
49,3.4282,4.0217,4.0217,cuda (RTX 5000)
50,3.4153,4.0175,4.0175,cuda (RTX 5000)
51,3.4013,4.0073,4.0073,cuda (RTX 5000)
52,3.3902,4.0166,4.0073,cuda (RTX 5000)
53,3.3789,4.0005,4.0005,cuda (RTX 5000)
54,3.3671,4.0036,4.0005,cuda (RTX 5000)
55,3.3562,4.0046,4.0005,cuda (RTX 5000)
56,3.3465,3.9989,3.9989,cuda (RTX 5000)
57,3.3365,4.0006,3.9989,cuda (RTX 5000)
58,3.326,3.9983,3.9983,cuda (RTX 5000)
59,3.3171,3.9946,3.9946,cuda (RTX 5000)
60,3.3056,3.9957,3.9946,cuda (RTX 5000)
