epoch,train_loss,val_loss,best_val_loss,device
1,5.6486,5.2616,5.2616,cuda (RTX 5000)
2,5.0738,4.9589,4.9589,cuda (RTX 5000)
3,4.8339,4.7809,4.7809,cuda (RTX 5000)
4,4.6596,4.6331,4.6331,cuda (RTX 5000)
5,4.5167,4.5325,4.5325,cuda (RTX 5000)
6,4.3906,4.4117,4.4117,cuda (RTX 5000)
7,4.2809,4.3409,4.3409,cuda (RTX 5000)
8,4.1862,4.275,4.275,cuda (RTX 5000)
9,4.1004,4.2271,4.2271,cuda (RTX 5000)
10,4.0271,4.18,4.18,cuda (RTX 5000)
11,3.9599,4.1537,4.1537,cuda (RTX 5000)
12,3.8986,4.1033,4.1033,cuda (RTX 5000)
13,3.8414,4.0778,4.0778,cuda (RTX 5000)
14,3.7907,4.0538,4.0538,cuda (RTX 5000)
15,3.7428,4.0356,4.0356,cuda (RTX 5000)
16,3.6982,4.0175,4.0175,cuda (RTX 5000)
17,3.6575,3.9966,3.9966,cuda (RTX 5000)
18,3.6188,3.9782,3.9782,cuda (RTX 5000)
19,3.5811,3.9629,3.9629,cuda (RTX 5000)
20,3.5455,3.9511,3.9511,cuda (RTX 5000)
21,3.5138,3.9408,3.9408,cuda (RTX 5000)
22,3.4834,3.9249,3.9249,cuda (RTX 5000)
23,3.4532,3.9169,3.9169,cuda (RTX 5000)
24,3.4264,3.9145,3.9145,cuda (RTX 5000)
25,3.4002,3.8956,3.8956,cuda (RTX 5000)
26,3.3751,3.8994,3.8956,cuda (RTX 5000)
27,3.3519,3.8961,3.8956,cuda (RTX 5000)
28,3.3299,3.8847,3.8847,cuda (RTX 5000)
29,3.3084,3.8803,3.8803,cuda (RTX 5000)
30,3.2869,3.8713,3.8713,cuda (RTX 5000)
31,3.2667,3.8634,3.8634,cuda (RTX 5000)
32,3.2482,3.8635,3.8634,cuda (RTX 5000)
33,3.2282,3.8583,3.8583,cuda (RTX 5000)
34,3.2112,3.8513,3.8513,cuda (RTX 5000)
35,3.1942,3.8584,3.8513,cuda (RTX 5000)
36,3.1783,3.8545,3.8513,cuda (RTX 5000)
37,3.1616,3.8488,3.8488,cuda (RTX 5000)
38,3.1463,3.8422,3.8422,cuda (RTX 5000)
39,3.1321,3.8493,3.8422,cuda (RTX 5000)
40,3.1168,3.8432,3.8422,cuda (RTX 5000)
41,3.1031,3.8446,3.8422,cuda (RTX 5000)
42,3.0902,3.8313,3.8313,cuda (RTX 5000)
43,3.0769,3.828,3.828,cuda (RTX 5000)
44,3.0641,3.8365,3.828,cuda (RTX 5000)
45,3.0523,3.8323,3.828,cuda (RTX 5000)
46,3.0391,3.8365,3.828,cuda (RTX 5000)
47,3.0272,3.8401,3.828,cuda (RTX 5000)
48,3.016,3.833,3.828,cuda (RTX 5000)
