epoch,train_loss,val_loss,best_val_loss,device
1,5.4699,5.0949,5.0949,cuda (RTX 5000)
2,4.8894,4.7728,4.7728,cuda (RTX 5000)
3,4.6022,4.56,4.56,cuda (RTX 5000)
4,4.3837,4.4274,4.4274,cuda (RTX 5000)
5,4.2139,4.3447,4.3447,cuda (RTX 5000)
6,4.0772,4.2819,4.2819,cuda (RTX 5000)
7,3.9622,4.2269,4.2269,cuda (RTX 5000)
8,3.8604,4.1939,4.1939,cuda (RTX 5000)
9,3.7697,4.1653,4.1653,cuda (RTX 5000)
10,3.69,4.1416,4.1416,cuda (RTX 5000)
11,3.6177,4.1124,4.1124,cuda (RTX 5000)
12,3.5482,4.1046,4.1046,cuda (RTX 5000)
13,3.4869,4.0992,4.0992,cuda (RTX 5000)
14,3.429,4.09,4.09,cuda (RTX 5000)
15,3.3757,4.0848,4.0848,cuda (RTX 5000)
16,3.3282,4.0862,4.0848,cuda (RTX 5000)
17,3.282,4.0846,4.0846,cuda (RTX 5000)
18,3.24,4.0802,4.0802,cuda (RTX 5000)
19,3.1992,4.0794,4.0794,cuda (RTX 5000)
20,3.1641,4.0818,4.0794,cuda (RTX 5000)
21,3.1279,4.0872,4.0794,cuda (RTX 5000)
22,3.0957,4.0937,4.0794,cuda (RTX 5000)
23,3.0639,4.1031,4.0794,cuda (RTX 5000)
24,3.0367,4.1002,4.0794,cuda (RTX 5000)
