epoch,train_loss,val_loss,best_val_loss,device
1,5.6426,5.2667,5.2667,cuda (RTX 5000)
2,5.0776,4.9836,4.9836,cuda (RTX 5000)
3,4.8399,4.7909,4.7909,cuda (RTX 5000)
4,4.6714,4.6592,4.6592,cuda (RTX 5000)
5,4.528,4.5394,4.5394,cuda (RTX 5000)
6,4.4053,4.4447,4.4447,cuda (RTX 5000)
7,4.3025,4.381,4.381,cuda (RTX 5000)
8,4.2125,4.3185,4.3185,cuda (RTX 5000)
9,4.135,4.2823,4.2823,cuda (RTX 5000)
10,4.0656,4.2376,4.2376,cuda (RTX 5000)
11,4.0028,4.21,4.21,cuda (RTX 5000)
12,3.9474,4.1793,4.1793,cuda (RTX 5000)
13,3.8971,4.149,4.149,cuda (RTX 5000)
14,3.8481,4.1262,4.1262,cuda (RTX 5000)
15,3.8046,4.1065,4.1065,cuda (RTX 5000)
16,3.763,4.0836,4.0836,cuda (RTX 5000)
17,3.7252,4.0655,4.0655,cuda (RTX 5000)
18,3.6895,4.0509,4.0509,cuda (RTX 5000)
19,3.6565,4.0421,4.0421,cuda (RTX 5000)
20,3.6249,4.0297,4.0297,cuda (RTX 5000)
21,3.5944,4.0105,4.0105,cuda (RTX 5000)
22,3.5663,3.9995,3.9995,cuda (RTX 5000)
23,3.5401,3.9937,3.9937,cuda (RTX 5000)
24,3.5138,3.9862,3.9862,cuda (RTX 5000)
25,3.4904,3.9852,3.9852,cuda (RTX 5000)
26,3.4673,3.967,3.967,cuda (RTX 5000)
27,3.4461,3.9706,3.967,cuda (RTX 5000)
28,3.4263,3.953,3.953,cuda (RTX 5000)
29,3.4044,3.9479,3.9479,cuda (RTX 5000)
30,3.3856,3.9458,3.9458,cuda (RTX 5000)
31,3.3687,3.9319,3.9319,cuda (RTX 5000)
32,3.351,3.9297,3.9297,cuda (RTX 5000)
33,3.3336,3.9268,3.9268,cuda (RTX 5000)
34,3.3173,3.9194,3.9194,cuda (RTX 5000)
35,3.3007,3.92,3.9194,cuda (RTX 5000)
36,3.2861,3.9186,3.9186,cuda (RTX 5000)
37,3.2713,3.9104,3.9104,cuda (RTX 5000)
38,3.2581,3.909,3.909,cuda (RTX 5000)
39,3.2443,3.9072,3.9072,cuda (RTX 5000)
40,3.2299,3.9012,3.9012,cuda (RTX 5000)
41,3.2177,3.9037,3.9012,cuda (RTX 5000)
42,3.2055,3.887,3.887,cuda (RTX 5000)
43,3.1915,3.8929,3.887,cuda (RTX 5000)
44,3.1797,3.8879,3.887,cuda (RTX 5000)
45,3.1678,3.8924,3.887,cuda (RTX 5000)
46,3.1581,3.8926,3.887,cuda (RTX 5000)
47,3.1459,3.8863,3.8863,cuda (RTX 5000)
48,3.1361,3.8864,3.8863,cuda (RTX 5000)
49,3.1262,3.8784,3.8784,cuda (RTX 5000)
50,3.1163,3.8838,3.8784,cuda (RTX 5000)
51,3.1051,3.8741,3.8741,cuda (RTX 5000)
52,3.0952,3.8796,3.8741,cuda (RTX 5000)
53,3.0866,3.8787,3.8741,cuda (RTX 5000)
54,3.0772,3.8724,3.8724,cuda (RTX 5000)
55,3.0668,3.8801,3.8724,cuda (RTX 5000)
56,3.0592,3.8742,3.8724,cuda (RTX 5000)
57,3.0496,3.8733,3.8724,cuda (RTX 5000)
58,3.0408,3.8748,3.8724,cuda (RTX 5000)
59,3.0332,3.8719,3.8719,cuda (RTX 5000)
60,3.0264,3.8698,3.8698,cuda (RTX 5000)
