epoch,train_loss,val_loss,best_val_loss,device
1,5.9479,5.5038,5.5038,cuda (RTX 5000)
2,5.3285,5.2384,5.2384,cuda (RTX 5000)
3,5.1322,5.0744,5.0744,cuda (RTX 5000)
4,4.9961,4.9675,4.9675,cuda (RTX 5000)
5,4.8912,4.8757,4.8757,cuda (RTX 5000)
6,4.804,4.8005,4.8005,cuda (RTX 5000)
7,4.7306,4.7423,4.7423,cuda (RTX 5000)
8,4.6653,4.6917,4.6917,cuda (RTX 5000)
9,4.6083,4.6377,4.6377,cuda (RTX 5000)
10,4.5574,4.6034,4.6034,cuda (RTX 5000)
11,4.5113,4.5691,4.5691,cuda (RTX 5000)
12,4.4702,4.5393,4.5393,cuda (RTX 5000)
13,4.4326,4.5119,4.5119,cuda (RTX 5000)
14,4.3984,4.4845,4.4845,cuda (RTX 5000)
15,4.3669,4.465,4.465,cuda (RTX 5000)
16,4.3375,4.4454,4.4454,cuda (RTX 5000)
17,4.3103,4.4307,4.4307,cuda (RTX 5000)
18,4.2835,4.4103,4.4103,cuda (RTX 5000)
19,4.2604,4.387,4.387,cuda (RTX 5000)
20,4.2372,4.3749,4.3749,cuda (RTX 5000)
21,4.2158,4.354,4.354,cuda (RTX 5000)
22,4.1968,4.3466,4.3466,cuda (RTX 5000)
23,4.1754,4.3279,4.3279,cuda (RTX 5000)
24,4.1584,4.3155,4.3155,cuda (RTX 5000)
25,4.1412,4.3096,4.3096,cuda (RTX 5000)
26,4.1237,4.2986,4.2986,cuda (RTX 5000)
27,4.1079,4.2794,4.2794,cuda (RTX 5000)
28,4.0924,4.2713,4.2713,cuda (RTX 5000)
29,4.077,4.2623,4.2623,cuda (RTX 5000)
30,4.0632,4.2539,4.2539,cuda (RTX 5000)
31,4.0484,4.2395,4.2395,cuda (RTX 5000)
32,4.0353,4.2344,4.2344,cuda (RTX 5000)
33,4.0226,4.2226,4.2226,cuda (RTX 5000)
34,4.0096,4.2147,4.2147,cuda (RTX 5000)
35,3.9992,4.2043,4.2043,cuda (RTX 5000)
36,3.9866,4.2003,4.2003,cuda (RTX 5000)
37,3.9762,4.1935,4.1935,cuda (RTX 5000)
38,3.9644,4.1837,4.1837,cuda (RTX 5000)
39,3.9538,4.1802,4.1802,cuda (RTX 5000)
40,3.9433,4.1721,4.1721,cuda (RTX 5000)
41,3.9331,4.167,4.167,cuda (RTX 5000)
42,3.923,4.1542,4.1542,cuda (RTX 5000)
43,3.9132,4.1562,4.1542,cuda (RTX 5000)
44,3.9047,4.1455,4.1455,cuda (RTX 5000)
45,3.8956,4.1357,4.1357,cuda (RTX 5000)
46,3.886,4.1309,4.1309,cuda (RTX 5000)
47,3.8774,4.1283,4.1283,cuda (RTX 5000)
48,3.8689,4.1255,4.1255,cuda (RTX 5000)
49,3.8605,4.1199,4.1199,cuda (RTX 5000)
50,3.8518,4.1112,4.1112,cuda (RTX 5000)
51,3.8439,4.107,4.107,cuda (RTX 5000)
52,3.8369,4.0981,4.0981,cuda (RTX 5000)
53,3.8278,4.1008,4.0981,cuda (RTX 5000)
54,3.8212,4.0878,4.0878,cuda (RTX 5000)
55,3.8139,4.0839,4.0839,cuda (RTX 5000)
56,3.8066,4.0818,4.0818,cuda (RTX 5000)
57,3.7977,4.0773,4.0773,cuda (RTX 5000)
58,3.7924,4.0746,4.0746,cuda (RTX 5000)
59,3.7857,4.0681,4.0681,cuda (RTX 5000)
60,3.7787,4.0681,4.0681,cuda (RTX 5000)
