epoch,train_loss,val_loss,best_val_loss,device
1,5.6661,5.2686,5.2686,cuda (RTX 5000)
2,5.0792,4.9809,4.9809,cuda (RTX 5000)
3,4.8379,4.7861,4.7861,cuda (RTX 5000)
4,4.6623,4.6436,4.6436,cuda (RTX 5000)
5,4.5197,4.5409,4.5409,cuda (RTX 5000)
6,4.4021,4.4624,4.4624,cuda (RTX 5000)
7,4.3044,4.3964,4.3964,cuda (RTX 5000)
8,4.2218,4.3581,4.3581,cuda (RTX 5000)
9,4.1507,4.3086,4.3086,cuda (RTX 5000)
10,4.0859,4.2731,4.2731,cuda (RTX 5000)
11,4.0301,4.2427,4.2427,cuda (RTX 5000)
12,3.9797,4.2188,4.2188,cuda (RTX 5000)
13,3.9334,4.1908,4.1908,cuda (RTX 5000)
14,3.891,4.1756,4.1756,cuda (RTX 5000)
15,3.8504,4.1507,4.1507,cuda (RTX 5000)
16,3.8152,4.1341,4.1341,cuda (RTX 5000)
17,3.7818,4.1182,4.1182,cuda (RTX 5000)
18,3.7501,4.1097,4.1097,cuda (RTX 5000)
19,3.7203,4.0969,4.0969,cuda (RTX 5000)
20,3.6936,4.0876,4.0876,cuda (RTX 5000)
21,3.6659,4.0747,4.0747,cuda (RTX 5000)
22,3.642,4.0618,4.0618,cuda (RTX 5000)
23,3.6199,4.0589,4.0589,cuda (RTX 5000)
24,3.5971,4.0495,4.0495,cuda (RTX 5000)
25,3.5769,4.042,4.042,cuda (RTX 5000)
26,3.5576,4.0328,4.0328,cuda (RTX 5000)
27,3.5382,4.0289,4.0289,cuda (RTX 5000)
28,3.5206,4.0222,4.0222,cuda (RTX 5000)
29,3.5027,4.0123,4.0123,cuda (RTX 5000)
30,3.4855,4.0063,4.0063,cuda (RTX 5000)
31,3.4702,4.0084,4.0063,cuda (RTX 5000)
32,3.4546,4.0065,4.0063,cuda (RTX 5000)
33,3.4402,3.9922,3.9922,cuda (RTX 5000)
34,3.4264,3.9933,3.9922,cuda (RTX 5000)
35,3.4145,3.9872,3.9872,cuda (RTX 5000)
36,3.4003,3.9899,3.9872,cuda (RTX 5000)
37,3.3867,3.9804,3.9804,cuda (RTX 5000)
38,3.3755,3.978,3.978,cuda (RTX 5000)
39,3.3625,3.9661,3.9661,cuda (RTX 5000)
40,3.3524,3.9686,3.9661,cuda (RTX 5000)
41,3.3401,3.9676,3.9661,cuda (RTX 5000)
42,3.3307,3.9695,3.9661,cuda (RTX 5000)
43,3.3188,3.9653,3.9653,cuda (RTX 5000)
44,3.3083,3.9598,3.9598,cuda (RTX 5000)
45,3.2994,3.9622,3.9598,cuda (RTX 5000)
46,3.2889,3.9505,3.9505,cuda (RTX 5000)
47,3.2805,3.9483,3.9483,cuda (RTX 5000)
48,3.2695,3.9532,3.9483,cuda (RTX 5000)
49,3.2614,3.9418,3.9418,cuda (RTX 5000)
50,3.2512,3.9466,3.9418,cuda (RTX 5000)
51,3.2424,3.9511,3.9418,cuda (RTX 5000)
52,3.2349,3.9461,3.9418,cuda (RTX 5000)
53,3.2261,3.9452,3.9418,cuda (RTX 5000)
54,3.2188,3.939,3.939,cuda (RTX 5000)
55,3.2087,3.9347,3.9347,cuda (RTX 5000)
56,3.2008,3.9339,3.9339,cuda (RTX 5000)
57,3.1954,3.9313,3.9313,cuda (RTX 5000)
58,3.1865,3.9396,3.9313,cuda (RTX 5000)
59,3.1779,3.9319,3.9313,cuda (RTX 5000)
60,3.172,3.931,3.931,cuda (RTX 5000)
