epoch,train_loss,val_loss,best_val_loss,device
1,5.5882,5.2066,5.2066,cuda (RTX 5000)
2,4.9781,4.8459,4.8459,cuda (RTX 5000)
3,4.7015,4.6395,4.6395,cuda (RTX 5000)
4,4.5201,4.511,4.511,cuda (RTX 5000)
5,4.3944,4.4166,4.4166,cuda (RTX 5000)
6,4.2995,4.3565,4.3565,cuda (RTX 5000)
7,4.2237,4.296,4.296,cuda (RTX 5000)
8,4.1599,4.2597,4.2597,cuda (RTX 5000)
9,4.1036,4.2113,4.2113,cuda (RTX 5000)
10,4.0548,4.1781,4.1781,cuda (RTX 5000)
11,4.0107,4.1416,4.1416,cuda (RTX 5000)
12,3.9709,4.1185,4.1185,cuda (RTX 5000)
13,3.934,4.0986,4.0986,cuda (RTX 5000)
14,3.9021,4.0701,4.0701,cuda (RTX 5000)
15,3.8714,4.0468,4.0468,cuda (RTX 5000)
16,3.8444,4.0287,4.0287,cuda (RTX 5000)
17,3.8168,4.0186,4.0186,cuda (RTX 5000)
18,3.7928,4.0124,4.0124,cuda (RTX 5000)
19,3.7704,3.9903,3.9903,cuda (RTX 5000)
20,3.7484,3.9708,3.9708,cuda (RTX 5000)
21,3.7283,3.9579,3.9579,cuda (RTX 5000)
22,3.7082,3.9451,3.9451,cuda (RTX 5000)
23,3.6897,3.9382,3.9382,cuda (RTX 5000)
24,3.6727,3.924,3.924,cuda (RTX 5000)
25,3.6567,3.9135,3.9135,cuda (RTX 5000)
26,3.6418,3.9066,3.9066,cuda (RTX 5000)
27,3.6257,3.8946,3.8946,cuda (RTX 5000)
28,3.611,3.8913,3.8913,cuda (RTX 5000)
29,3.5979,3.883,3.883,cuda (RTX 5000)
30,3.584,3.8667,3.8667,cuda (RTX 5000)
31,3.5715,3.8659,3.8659,cuda (RTX 5000)
32,3.5601,3.8674,3.8659,cuda (RTX 5000)
33,3.5481,3.8511,3.8511,cuda (RTX 5000)
34,3.5388,3.8516,3.8511,cuda (RTX 5000)
35,3.5278,3.8436,3.8436,cuda (RTX 5000)
36,3.5162,3.84,3.84,cuda (RTX 5000)
37,3.5064,3.8324,3.8324,cuda (RTX 5000)
38,3.4969,3.8276,3.8276,cuda (RTX 5000)
39,3.4863,3.818,3.818,cuda (RTX 5000)
40,3.4774,3.8112,3.8112,cuda (RTX 5000)
41,3.4705,3.8156,3.8112,cuda (RTX 5000)
42,3.4604,3.8027,3.8027,cuda (RTX 5000)
43,3.4512,3.7948,3.7948,cuda (RTX 5000)
44,3.444,3.7922,3.7922,cuda (RTX 5000)
45,3.4363,3.7959,3.7922,cuda (RTX 5000)
46,3.428,3.7908,3.7908,cuda (RTX 5000)
47,3.4217,3.7846,3.7846,cuda (RTX 5000)
48,3.414,3.7807,3.7807,cuda (RTX 5000)
49,3.4078,3.7783,3.7783,cuda (RTX 5000)
50,3.3992,3.7709,3.7709,cuda (RTX 5000)
51,3.3933,3.7761,3.7709,cuda (RTX 5000)
52,3.3875,3.7739,3.7709,cuda (RTX 5000)
53,3.3828,3.7724,3.7709,cuda (RTX 5000)
54,3.3744,3.7637,3.7637,cuda (RTX 5000)
55,3.3684,3.7602,3.7602,cuda (RTX 5000)
56,3.3625,3.7588,3.7588,cuda (RTX 5000)
57,3.3567,3.7605,3.7588,cuda (RTX 5000)
58,3.35,3.7537,3.7537,cuda (RTX 5000)
59,3.3438,3.7551,3.7537,cuda (RTX 5000)
60,3.3382,3.7498,3.7498,cuda (RTX 5000)
