epoch,train_loss,val_loss,best_val_loss,device
1,6.8565,6.1587,6.1587,cuda (RTX 5000)
2,5.9521,5.9313,5.9313,cuda (RTX 5000)
3,5.7358,5.7787,5.7787,cuda (RTX 5000)
4,5.5781,5.6887,5.6887,cuda (RTX 5000)
5,5.4512,5.6093,5.6093,cuda (RTX 5000)
6,5.3373,5.5571,5.5571,cuda (RTX 5000)
7,5.2376,5.4991,5.4991,cuda (RTX 5000)
8,5.1441,5.4594,5.4594,cuda (RTX 5000)
9,5.0619,5.4252,5.4252,cuda (RTX 5000)
10,4.9845,5.4,5.4,cuda (RTX 5000)
11,4.9051,5.376,5.376,cuda (RTX 5000)
12,4.8327,5.346,5.346,cuda (RTX 5000)
13,4.7614,5.3315,5.3315,cuda (RTX 5000)
14,4.6864,5.3235,5.3235,cuda (RTX 5000)
15,4.6179,5.3204,5.3204,cuda (RTX 5000)
16,4.5484,5.2993,5.2993,cuda (RTX 5000)
17,4.4859,5.2992,5.2992,cuda (RTX 5000)
18,4.4182,5.2919,5.2919,cuda (RTX 5000)
19,4.3536,5.3003,5.2919,cuda (RTX 5000)
20,4.2888,5.2934,5.2919,cuda (RTX 5000)
21,4.227,5.2977,5.2919,cuda (RTX 5000)
22,4.1604,5.3102,5.2919,cuda (RTX 5000)
23,4.0996,5.3117,5.2919,cuda (RTX 5000)
24,4.0408,5.3271,5.2919,cuda (RTX 5000)
25,3.9794,5.3333,5.2919,cuda (RTX 5000)
26,3.9224,5.3509,5.2919,cuda (RTX 5000)
27,3.8623,5.3707,5.2919,cuda (RTX 5000)
28,3.81,5.3776,5.2919,cuda (RTX 5000)
29,3.7497,5.398,5.2919,cuda (RTX 5000)
30,3.6962,5.4193,5.2919,cuda (RTX 5000)
31,3.6426,5.433,5.2919,cuda (RTX 5000)
32,3.5907,5.447,5.2919,cuda (RTX 5000)
33,3.5412,5.4723,5.2919,cuda (RTX 5000)
34,3.493,5.4988,5.2919,cuda (RTX 5000)
35,3.4432,5.5154,5.2919,cuda (RTX 5000)
36,3.3956,5.5512,5.2919,cuda (RTX 5000)
37,3.3495,5.5706,5.2919,cuda (RTX 5000)
38,3.3066,5.5982,5.2919,cuda (RTX 5000)
39,3.2607,5.6243,5.2919,cuda (RTX 5000)
40,3.2124,5.6559,5.2919,cuda (RTX 5000)
41,3.1726,5.6743,5.2919,cuda (RTX 5000)
42,3.134,5.7058,5.2919,cuda (RTX 5000)
43,3.0966,5.7321,5.2919,cuda (RTX 5000)
44,3.0565,5.7686,5.2919,cuda (RTX 5000)
45,3.0134,5.7967,5.2919,cuda (RTX 5000)
46,2.9767,5.8178,5.2919,cuda (RTX 5000)
47,2.9406,5.8448,5.2919,cuda (RTX 5000)
48,2.9066,5.8771,5.2919,cuda (RTX 5000)
49,2.8739,5.8973,5.2919,cuda (RTX 5000)
50,2.8343,5.934,5.2919,cuda (RTX 5000)
51,2.8065,5.9658,5.2919,cuda (RTX 5000)
52,2.7731,5.9924,5.2919,cuda (RTX 5000)
53,2.7459,6.0092,5.2919,cuda (RTX 5000)
54,2.7169,6.0334,5.2919,cuda (RTX 5000)
55,2.6798,6.0695,5.2919,cuda (RTX 5000)
56,2.6508,6.1064,5.2919,cuda (RTX 5000)
57,2.6278,6.1369,5.2919,cuda (RTX 5000)
58,2.5996,6.159,5.2919,cuda (RTX 5000)
59,2.5681,6.1924,5.2919,cuda (RTX 5000)
60,2.5428,6.2178,5.2919,cuda (RTX 5000)
