epoch,train_loss,val_loss,best_val_loss,device
1,5.6862,5.3026,5.3026,cuda (RTX 5000)
2,5.1133,5.0007,5.0007,cuda (RTX 5000)
3,4.8773,4.8172,4.8172,cuda (RTX 5000)
4,4.7059,4.6864,4.6864,cuda (RTX 5000)
5,4.5676,4.5802,4.5802,cuda (RTX 5000)
6,4.4532,4.5081,4.5081,cuda (RTX 5000)
7,4.3594,4.443,4.443,cuda (RTX 5000)
8,4.276,4.3973,4.3973,cuda (RTX 5000)
9,4.2062,4.3598,4.3598,cuda (RTX 5000)
10,4.1448,4.3248,4.3248,cuda (RTX 5000)
11,4.0886,4.2924,4.2924,cuda (RTX 5000)
12,4.0395,4.2688,4.2688,cuda (RTX 5000)
13,3.9937,4.2483,4.2483,cuda (RTX 5000)
14,3.9515,4.2273,4.2273,cuda (RTX 5000)
15,3.912,4.211,4.211,cuda (RTX 5000)
16,3.8765,4.1937,4.1937,cuda (RTX 5000)
17,3.8424,4.1768,4.1768,cuda (RTX 5000)
18,3.8112,4.1619,4.1619,cuda (RTX 5000)
19,3.7824,4.154,4.154,cuda (RTX 5000)
20,3.7537,4.1429,4.1429,cuda (RTX 5000)
21,3.7271,4.1324,4.1324,cuda (RTX 5000)
22,3.7045,4.1309,4.1309,cuda (RTX 5000)
23,3.6781,4.1102,4.1102,cuda (RTX 5000)
24,3.6577,4.112,4.1102,cuda (RTX 5000)
25,3.6338,4.0976,4.0976,cuda (RTX 5000)
26,3.6143,4.0887,4.0887,cuda (RTX 5000)
27,3.5947,4.0909,4.0887,cuda (RTX 5000)
28,3.576,4.0822,4.0822,cuda (RTX 5000)
29,3.5592,4.0762,4.0762,cuda (RTX 5000)
30,3.5416,4.0721,4.0721,cuda (RTX 5000)
31,3.5242,4.0682,4.0682,cuda (RTX 5000)
32,3.5106,4.0686,4.0682,cuda (RTX 5000)
33,3.4936,4.063,4.063,cuda (RTX 5000)
34,3.4789,4.0498,4.0498,cuda (RTX 5000)
35,3.4658,4.0488,4.0488,cuda (RTX 5000)
36,3.4519,4.0359,4.0359,cuda (RTX 5000)
37,3.439,4.0336,4.0336,cuda (RTX 5000)
38,3.4251,4.0382,4.0336,cuda (RTX 5000)
39,3.4127,4.0311,4.0311,cuda (RTX 5000)
40,3.3998,4.0335,4.0311,cuda (RTX 5000)
41,3.3888,4.0257,4.0257,cuda (RTX 5000)
42,3.3768,4.025,4.025,cuda (RTX 5000)
43,3.3659,4.0211,4.0211,cuda (RTX 5000)
44,3.3556,4.0162,4.0162,cuda (RTX 5000)
45,3.3433,4.0127,4.0127,cuda (RTX 5000)
46,3.3341,4.0101,4.0101,cuda (RTX 5000)
47,3.3239,4.0086,4.0086,cuda (RTX 5000)
48,3.3131,4.0089,4.0086,cuda (RTX 5000)
49,3.3044,4.0065,4.0065,cuda (RTX 5000)
50,3.295,4.0049,4.0049,cuda (RTX 5000)
51,3.2854,4.0045,4.0045,cuda (RTX 5000)
52,3.2774,4.0132,4.0045,cuda (RTX 5000)
53,3.2678,4.0049,4.0045,cuda (RTX 5000)
54,3.2599,4.0013,4.0013,cuda (RTX 5000)
55,3.2519,4.0038,4.0013,cuda (RTX 5000)
56,3.2436,3.9902,3.9902,cuda (RTX 5000)
57,3.2352,3.9943,3.9902,cuda (RTX 5000)
58,3.2282,3.996,3.9902,cuda (RTX 5000)
59,3.2192,3.9993,3.9902,cuda (RTX 5000)
60,3.2121,3.9903,3.9902,cuda (RTX 5000)
