epoch,train_loss,val_loss,best_val_loss,device
1,18.0114,7.9652,7.9652,cuda (RTX 5000)
2,7.2889,5.9833,5.9833,cuda (RTX 5000)
3,6.2948,5.6787,5.6787,cuda (RTX 5000)
4,6.0736,5.5084,5.5084,cuda (RTX 5000)
5,5.9321,5.3675,5.3675,cuda (RTX 5000)
6,5.8178,5.2406,5.2406,cuda (RTX 5000)
7,5.7182,5.132,5.132,cuda (RTX 5000)
8,5.6301,5.0244,5.0244,cuda (RTX 5000)
9,5.5476,4.925,4.925,cuda (RTX 5000)
10,5.4693,4.8379,4.8379,cuda (RTX 5000)
11,5.3983,4.7522,4.7522,cuda (RTX 5000)
12,5.3334,4.6805,4.6805,cuda (RTX 5000)
13,5.2732,4.6145,4.6145,cuda (RTX 5000)
14,5.2179,4.5578,4.5578,cuda (RTX 5000)
15,5.1662,4.4962,4.4962,cuda (RTX 5000)
16,5.1184,4.451,4.451,cuda (RTX 5000)
17,5.0745,4.4048,4.4048,cuda (RTX 5000)
18,5.0327,4.3544,4.3544,cuda (RTX 5000)
19,4.993,4.3189,4.3189,cuda (RTX 5000)
20,4.9583,4.2779,4.2779,cuda (RTX 5000)
21,4.9249,4.2509,4.2509,cuda (RTX 5000)
22,4.8917,4.2119,4.2119,cuda (RTX 5000)
23,4.8612,4.1943,4.1943,cuda (RTX 5000)
24,4.8336,4.1687,4.1687,cuda (RTX 5000)
25,4.8073,4.1384,4.1384,cuda (RTX 5000)
26,4.7815,4.1179,4.1179,cuda (RTX 5000)
27,4.758,4.0909,4.0909,cuda (RTX 5000)
28,4.7351,4.0728,4.0728,cuda (RTX 5000)
29,4.7138,4.0574,4.0574,cuda (RTX 5000)
30,4.6929,4.0315,4.0315,cuda (RTX 5000)
31,4.6734,4.0159,4.0159,cuda (RTX 5000)
32,4.6544,3.9988,3.9988,cuda (RTX 5000)
33,4.636,3.9879,3.9879,cuda (RTX 5000)
34,4.6194,3.9638,3.9638,cuda (RTX 5000)
35,4.6031,3.9648,3.9638,cuda (RTX 5000)
36,4.5865,3.9415,3.9415,cuda (RTX 5000)
37,4.5697,3.9307,3.9307,cuda (RTX 5000)
38,4.557,3.9194,3.9194,cuda (RTX 5000)
39,4.5438,3.9074,3.9074,cuda (RTX 5000)
40,4.5297,3.8874,3.8874,cuda (RTX 5000)
41,4.5153,3.8776,3.8776,cuda (RTX 5000)
42,4.5027,3.8691,3.8691,cuda (RTX 5000)
43,4.4907,3.8696,3.8691,cuda (RTX 5000)
44,4.4786,3.8484,3.8484,cuda (RTX 5000)
45,4.4668,3.835,3.835,cuda (RTX 5000)
46,4.4541,3.8208,3.8208,cuda (RTX 5000)
47,4.444,3.8174,3.8174,cuda (RTX 5000)
48,4.4321,3.8081,3.8081,cuda (RTX 5000)
49,4.4209,3.799,3.799,cuda (RTX 5000)
50,4.4112,3.7923,3.7923,cuda (RTX 5000)
51,4.4013,3.7842,3.7842,cuda (RTX 5000)
52,4.3917,3.7722,3.7722,cuda (RTX 5000)
53,4.3829,3.7733,3.7722,cuda (RTX 5000)
54,4.373,3.7561,3.7561,cuda (RTX 5000)
55,4.364,3.7529,3.7529,cuda (RTX 5000)
56,4.3545,3.7421,3.7421,cuda (RTX 5000)
57,4.3462,3.736,3.736,cuda (RTX 5000)
58,4.3378,3.7193,3.7193,cuda (RTX 5000)
59,4.3291,3.7119,3.7119,cuda (RTX 5000)
60,4.3201,3.7102,3.7102,cuda (RTX 5000)
