epoch,val_loss,best_val_loss,epoch_time_s,device
1,5.3161,5.3161,24.44,cuda (RTX 5000)
2,5.0091,5.0091,21.15,cuda (RTX 5000)
3,4.8233,4.8233,20.77,cuda (RTX 5000)
4,4.6954,4.6954,36.65,cuda (RTX 5000)
5,4.5831,4.5831,37.64,cuda (RTX 5000)
6,4.5214,4.5214,25.63,cuda (RTX 5000)
7,4.4517,4.4517,20.63,cuda (RTX 5000)
8,4.4023,4.4023,21.08,cuda (RTX 5000)
9,4.3658,4.3658,21.42,cuda (RTX 5000)
10,4.3258,4.3258,20.78,cuda (RTX 5000)
11,4.2911,4.2911,20.62,cuda (RTX 5000)
12,4.2691,4.2691,21.07,cuda (RTX 5000)
13,4.2485,4.2485,20.85,cuda (RTX 5000)
14,4.2299,4.2299,20.37,cuda (RTX 5000)
15,4.2056,4.2056,20.91,cuda (RTX 5000)
16,4.194,4.194,20.43,cuda (RTX 5000)
17,4.1773,4.1773,20.42,cuda (RTX 5000)
18,4.1674,4.1674,20.9,cuda (RTX 5000)
19,4.1568,4.1568,20.26,cuda (RTX 5000)
20,4.1348,4.1348,20.33,cuda (RTX 5000)
21,4.1308,4.1308,20.85,cuda (RTX 5000)
22,4.1172,4.1172,20.27,cuda (RTX 5000)
23,4.1207,4.1172,20.45,cuda (RTX 5000)
24,4.1053,4.1053,21.48,cuda (RTX 5000)
25,4.0848,4.0848,20.57,cuda (RTX 5000)
26,4.0867,4.0848,20.88,cuda (RTX 5000)
27,4.076,4.076,21.64,cuda (RTX 5000)
28,4.0695,4.0695,21.85,cuda (RTX 5000)
29,4.065,4.065,20.32,cuda (RTX 5000)
30,4.0587,4.0587,21.06,cuda (RTX 5000)
31,4.0528,4.0528,20.45,cuda (RTX 5000)
32,4.0439,4.0439,20.4,cuda (RTX 5000)
33,4.0432,4.0432,30.2,cuda (RTX 5000)
34,4.0321,4.0321,37.19,cuda (RTX 5000)
35,4.0271,4.0271,28.1,cuda (RTX 5000)
36,4.0235,4.0235,20.88,cuda (RTX 5000)
37,4.0169,4.0169,20.49,cuda (RTX 5000)
38,4.0123,4.0123,20.47,cuda (RTX 5000)
39,4.0112,4.0112,21.1,cuda (RTX 5000)
40,4.0086,4.0086,20.69,cuda (RTX 5000)
41,4.0092,4.0086,20.58,cuda (RTX 5000)
42,4.0052,4.0052,21.12,cuda (RTX 5000)
43,4.0003,4.0003,20.77,cuda (RTX 5000)
44,3.994,3.994,21.16,cuda (RTX 5000)
45,3.9968,3.994,25.86,cuda (RTX 5000)
46,3.9863,3.9863,29.61,cuda (RTX 5000)
47,3.9828,3.9828,30.18,cuda (RTX 5000)
48,3.9798,3.9798,29.65,cuda (RTX 5000)
49,3.9794,3.9794,29.91,cuda (RTX 5000)
50,3.9712,3.9712,29.66,cuda (RTX 5000)
51,3.9757,3.9712,29.16,cuda (RTX 5000)
52,3.9726,3.9712,28.66,cuda (RTX 5000)
53,3.9675,3.9675,29.56,cuda (RTX 5000)
54,3.9684,3.9675,30.25,cuda (RTX 5000)
55,3.9688,3.9675,29.74,cuda (RTX 5000)
56,3.9572,3.9572,29.88,cuda (RTX 5000)
57,3.9565,3.9565,29.91,cuda (RTX 5000)
58,3.9617,3.9565,29.52,cuda (RTX 5000)
59,3.9577,3.9565,30.03,cuda (RTX 5000)
60,3.9568,3.9565,29.78,cuda (RTX 5000)
