epoch,train_loss,val_loss,best_val_loss,device
1,5.7829,5.2002,5.2002,cuda (RTX 5000)
2,4.8909,4.8468,4.8468,cuda (RTX 5000)
3,4.561,4.6209,4.6209,cuda (RTX 5000)
4,4.3092,4.472,4.472,cuda (RTX 5000)
5,4.0991,4.3585,4.3585,cuda (RTX 5000)
6,3.9192,4.2742,4.2742,cuda (RTX 5000)
7,3.7621,4.2066,4.2066,cuda (RTX 5000)
8,3.6225,4.1623,4.1623,cuda (RTX 5000)
9,3.497,4.1295,4.1295,cuda (RTX 5000)
10,3.3824,4.1219,4.1219,cuda (RTX 5000)
11,3.2767,4.1244,4.1219,cuda (RTX 5000)
12,3.1778,4.1226,4.1219,cuda (RTX 5000)
13,3.0851,4.1318,4.1219,cuda (RTX 5000)
14,2.9985,4.1496,4.1219,cuda (RTX 5000)
15,2.9146,4.1569,4.1219,cuda (RTX 5000)
16,2.8358,4.1971,4.1219,cuda (RTX 5000)
17,2.7604,4.217,4.1219,cuda (RTX 5000)
18,2.688,4.2546,4.1219,cuda (RTX 5000)
19,2.6193,4.2926,4.1219,cuda (RTX 5000)
20,2.5532,4.3307,4.1219,cuda (RTX 5000)
21,2.4901,4.3621,4.1219,cuda (RTX 5000)
22,2.4286,4.4121,4.1219,cuda (RTX 5000)
23,2.3698,4.4594,4.1219,cuda (RTX 5000)
24,2.3134,4.5151,4.1219,cuda (RTX 5000)
25,2.2591,4.56,4.1219,cuda (RTX 5000)
26,2.2064,4.617,4.1219,cuda (RTX 5000)
27,2.1559,4.6781,4.1219,cuda (RTX 5000)
28,2.1069,4.7303,4.1219,cuda (RTX 5000)
29,2.0592,4.7794,4.1219,cuda (RTX 5000)
30,2.0142,4.837,4.1219,cuda (RTX 5000)
31,1.9694,4.9046,4.1219,cuda (RTX 5000)
32,1.9268,4.9708,4.1219,cuda (RTX 5000)
33,1.8859,5.0134,4.1219,cuda (RTX 5000)
34,1.8452,5.0722,4.1219,cuda (RTX 5000)
35,1.8069,5.1586,4.1219,cuda (RTX 5000)
36,1.7692,5.2204,4.1219,cuda (RTX 5000)
37,1.7327,5.2665,4.1219,cuda (RTX 5000)
38,1.6974,5.3417,4.1219,cuda (RTX 5000)
39,1.6627,5.3929,4.1219,cuda (RTX 5000)
40,1.6299,5.4568,4.1219,cuda (RTX 5000)
41,1.5971,5.5314,4.1219,cuda (RTX 5000)
42,1.5651,5.5768,4.1219,cuda (RTX 5000)
43,1.5349,5.6501,4.1219,cuda (RTX 5000)
44,1.505,5.715,4.1219,cuda (RTX 5000)
45,1.4755,5.7587,4.1219,cuda (RTX 5000)
46,1.4497,5.8443,4.1219,cuda (RTX 5000)
47,1.4206,5.8918,4.1219,cuda (RTX 5000)
48,1.3937,5.9759,4.1219,cuda (RTX 5000)
49,1.3677,6.0338,4.1219,cuda (RTX 5000)
50,1.3431,6.0993,4.1219,cuda (RTX 5000)
51,1.3173,6.1567,4.1219,cuda (RTX 5000)
52,1.2941,6.2173,4.1219,cuda (RTX 5000)
53,1.2701,6.2703,4.1219,cuda (RTX 5000)
54,1.2478,6.3499,4.1219,cuda (RTX 5000)
55,1.2258,6.4175,4.1219,cuda (RTX 5000)
56,1.2037,6.4845,4.1219,cuda (RTX 5000)
57,1.1825,6.5573,4.1219,cuda (RTX 5000)
58,1.1606,6.5855,4.1219,cuda (RTX 5000)
59,1.1413,6.6754,4.1219,cuda (RTX 5000)
60,1.1211,6.7305,4.1219,cuda (RTX 5000)
